date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190203,0,Alashanmeng,Neimenggu,70.0,0.5,0.5329999999999999,5.0,7.0,86.0,94.0,83.0,90.0,88.0,174.0,35.0,46.0,6.0,8.0
20190203,0,Ankang,Shanxi,108.0,1.633,1.4,25.0,21.0,10.0,42.0,21.0,35.0,99.0,81.0,80.0,67.0,11.0,15.0
20190203,0,Anqing,Anhui,74.0,1.06,0.92,31.0,25.0,29.0,60.0,39.0,53.0,66.0,59.0,53.0,50.0,6.0,7.0
20190203,0,Anshan,Liaoning,81.0,0.843,0.9570000000000001,22.0,24.0,76.0,97.0,82.0,90.0,98.0,144.0,59.0,74.0,9.0,15.0
20190203,0,Anshun,Guizhou,46.0,0.55,0.525,4.0,6.0,82.0,89.0,84.0,84.0,36.0,23.0,32.0,20.0,12.0,12.0
20190203,0,Anyang,Henan,278.0,2.24,1.6,42.0,26.0,22.0,59.0,32.0,51.0,248.0,177.0,227.0,151.0,23.0,9.0
20190203,0,Baicheng,Jilin,119.0,0.6,0.8,16.0,24.0,53.0,72.0,51.0,59.0,124.0,181.0,89.0,114.0,13.0,18.0
20190203,0,Baise,Guangxi,58.0,1.0,1.05,19.0,15.0,29.0,96.0,59.0,86.0,60.0,62.0,40.0,45.0,12.0,22.0
20190203,0,Baishan,Jilin,55.0,0.95,1.35,4.0,13.0,90.0,101.0,92.0,97.0,58.0,91.0,30.0,47.0,12.0,18.0
20190203,0,Baiyin,Gansu,63.0,0.6,0.65,7.0,9.0,72.0,85.0,78.0,81.0,73.0,103.0,24.0,24.0,23.0,70.0
20190203,0,Baoding,Hebei,186.0,1.75,1.75,39.0,34.0,11.0,48.0,16.0,37.0,171.0,166.0,140.0,122.0,6.0,11.0
20190203,0,Baoji,Shanxi,124.0,0.8,1.025,31.0,30.0,33.0,85.0,46.0,74.0,196.0,158.0,51.0,78.0,8.0,7.0
20190203,0,Baoshan,Yunnan,46.0,0.45,0.5,8.0,10.0,79.0,100.0,91.0,97.0,25.0,31.0,16.0,18.0,4.0,5.0
20190203,0,Baotou,Neimenggu,120.0,0.833,1.683,23.0,43.0,56.0,75.0,62.0,66.0,187.0,205.0,41.0,81.0,14.0,46.0
20190203,0,Bayannur,Neimenggu,200.0,0.5329999999999999,0.5670000000000001,6.0,8.0,70.0,77.0,69.0,74.0,348.0,293.0,59.0,62.0,7.0,7.0
20190203,0,Bazhong,Sichuan,82.0,1.075,1.025,22.0,21.0,32.0,59.0,26.0,39.0,76.0,67.0,60.0,53.0,4.0,4.0
20190203,0,Beihai,Guangxi,60.0,0.85,1.05,8.0,11.0,83.0,127.0,98.0,113.0,48.0,46.0,42.0,33.0,6.0,6.0
20190203,0,Beijing,Beijing,195.0,1.525,1.4080000000000001,51.0,53.0,10.0,37.0,15.0,30.0,155.0,134.0,146.0,107.0,2.0,7.0
