date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20200328,0,Alashanmeng,Neimenggu,41.0,0.35,0.4,10.0,9.0,74.0,106.0,90.0,98.0,41.0,51.0,21.0,22.0,9.0,9.0
20200328,0,Ankang,Shanxi,18.0,0.2,0.25,7.0,9.0,58.0,72.0,64.0,65.0,7.0,18.0,4.0,8.0,5.0,4.0
20200328,0,Anqing,Anhui,25.0,0.4,0.4,14.0,15.0,80.0,81.0,75.0,75.0,16.0,15.0,14.0,10.0,5.0,6.0
20200328,0,Anshan,Liaoning,62.0,1.5,0.93,35.0,24.0,31.0,88.0,57.0,80.0,74.0,60.0,28.0,30.0,24.0,17.0
20200328,0,Anshun,Guizhou,33.0,0.27,0.47,9.0,9.0,77.0,128.0,99.0,120.0,31.0,49.0,23.0,40.0,7.0,8.0
20200328,0,Anyang,Henan,57.0,0.43,0.67,73.0,26.0,7.0,89.0,57.0,85.0,63.0,39.0,24.0,13.0,8.0,10.0
20200328,0,Baicheng,Jilin,492.0,1.6,1.15,45.0,28.0,7.0,72.0,46.0,70.0,495.0,153.0,488.0,138.0,15.0,10.0
20200328,0,Baise,Guangxi,63.0,0.8,0.9,12.0,13.0,65.0,148.0,96.0,127.0,72.0,76.0,45.0,50.0,11.0,22.0
20200328,0,Baishan,Jilin,67.0,0.5,0.5,5.0,7.0,72.0,85.0,76.0,82.0,83.0,48.0,14.0,10.0,10.0,9.0
20200328,0,Baiyin,Gansu,60.0,0.9,0.95,20.0,28.0,60.0,84.0,73.0,77.0,69.0,64.0,20.0,27.0,43.0,27.0
20200328,0,Baoding,Hebei,57.0,0.35,0.23,68.0,28.0,7.0,86.0,47.0,80.0,64.0,28.0,32.0,14.0,9.0,8.0
20200328,0,Baoji,Shanxi,65.0,0.47,0.36,38.0,26.0,14.0,62.0,37.0,53.0,54.0,33.0,47.0,26.0,6.0,5.0
20200328,0,Baoshan,Yunnan,44.0,0.6,0.7,9.0,14.0,100.0,136.0,119.0,130.0,41.0,52.0,31.0,40.0,5.0,5.0
20200328,0,Baotou,Neimenggu,46.0,0.96,0.56,52.0,24.0,17.0,88.0,54.0,85.0,46.0,27.0,17.0,10.0,10.0,8.0
20200328,0,Bayannur,Neimenggu,46.0,0.55,0.55,19.0,14.0,68.0,91.0,82.0,87.0,46.0,39.0,20.0,19.0,12.0,17.0
20200328,0,Bazhong,Sichuan,10.0,0.53,0.4,20.0,11.0,25.0,75.0,44.0,68.0,9.0,25.0,4.0,9.0,4.0,3.0
20200328,0,Beihai,Guangxi,48.0,0.5,0.4,24.0,12.0,26.0,69.0,50.0,63.0,48.0,37.0,23.0,16.0,21.0,8.0
20200328,0,Beijing,Beijing,19.0,0.23,0.25,11.0,9.0,62.0,82.0,73.0,79.0,10.0,21.0,4.0,5.0,2.0,2.0
20200328,0,Bengbu,Anhui,43.0,0.5,0.45,15.0,15.0,67.0,91.0,77.0,83.0,40.0,44.0,30.0,18.0,9.0,13.0
