date,pollutant,city,high,low,start,end,newdate
20200101,NO2,Beijing,62,36,53,62,2020/01/01
20200102,NO2,Beijing,78,55,60,76,2020/01/02
20200103,NO2,Beijing,79,46,73,79,2020/01/03
20200104,NO2,Beijing,80,28,80,76,2020/01/04
20200105,NO2,Beijing,79,32,78,63,2020/01/05
20200106,NO2,Beijing,63,33,63,33,2020/01/06
20200107,NO2,Beijing,32,16,24,17,2020/01/07
20200108,NO2,Beijing,67,12,18,66,2020/01/08
20200109,NO2,Beijing,71,29,63,70,2020/01/09
20200110,NO2,Beijing,71,12,71,17,2020/01/10
20200111,NO2,Beijing,50,15,18,50,2020/01/11
20200112,NO2,Beijing,52,19,49,20,2020/01/12
20200113,NO2,Beijing,23,9,22,19,2020/01/13
20200114,NO2,Beijing,52,17,20,49,2020/01/14
20200115,NO2,Beijing,74,40,50,72,2020/01/15
20200116,NO2,Beijing,73,20,73,68,2020/01/16
20200117,NO2,Beijing,83,47,69,83,2020/01/17
20200118,NO2,Beijing,80,18,80,18,2020/01/18
20200119,NO2,Beijing,52,10,14,10,2020/01/19
20200120,NO2,Beijing,32,7,11,32,2020/01/20
20200121,NO2,Beijing,60,28,34,60,2020/01/21
20200122,NO2,Beijing,68,35,53,61,2020/01/22
20200123,NO2,Beijing,61,10,59,29,2020/01/23
20200124,NO2,Beijing,29,13,26,24,2020/01/24
20200125,NO2,Beijing,50,20,25,49,2020/01/25
20200126,NO2,Beijing,50,26,45,50,2020/01/26
20200127,NO2,Beijing,48,30,48,43,2020/01/27
20200128,NO2,Beijing,49,30,38,49,2020/01/28
20200129,NO2,Beijing,54,9,47,35,2020/01/29
20200130,NO2,Beijing,44,15,31,29,2020/01/30
20200131,NO2,Beijing,49,9,29,10,2020/01/31
20200201,NO2,Beijing,18,4,9,18,2020/02/01
20200202,NO2,Beijing,18,3,18,4,2020/02/02
20200203,NO2,Beijing,35,4,4,35,2020/02/03
20200204,NO2,Beijing,34,4,34,17,2020/02/04
20200205,NO2,Beijing,24,13,19,13,2020/02/05
20200206,NO2,Beijing,38,12,13,38,2020/02/06
20200207,NO2,Beijing,47,26,37,47,2020/02/07
20200208,NO2,Beijing,53,12,49,29,2020/02/08
20200209,NO2,Beijing,56,29,29,56,2020/02/09
20200210,NO2,Beijing,64,36,58,64,2020/02/10
20200211,NO2,Beijing,71,41,61,54,2020/02/11
20200212,NO2,Beijing,62,26,57,61,2020/02/12
20200213,NO2,Beijing,67,27,67,48,2020/02/13
20200214,NO2,Beijing,44,8,44,8,2020/02/14
20200215,NO2,Beijing,7,3,7,4,2020/02/15
20200216,NO2,Beijing,8,3,4,4,2020/02/16
20200217,NO2,Beijing,31,4,5,31,2020/02/17
20200218,NO2,Beijing,51,14,39,51,2020/02/18
20200219,NO2,Beijing,53,28,53,28,2020/02/19
20200220,NO2,Beijing,37,24,26,31,2020/02/20
20200221,NO2,Beijing,37,5,31,5,2020/02/21
20200222,NO2,Beijing,22,5,5,22,2020/02/22
20200223,NO2,Beijing,54,20,21,54,2020/02/23
20200224,NO2,Beijing,58,21,58,21,2020/02/24
