date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190309,0,Alashanmeng,74.0,0.667,0.667,26.0,13.0,90.0,128.0,113.0,122.0,96.0,89.0,43.0,44.0,11.0,12.0
20190309,0,Ankang,69.0,0.6,0.6,38.0,22.0,49.0,105.0,74.0,100.0,81.0,74.0,49.0,41.0,10.0,14.0
20190309,0,Anqing,87.0,0.8,0.74,49.0,33.0,42.0,87.0,57.0,74.0,76.0,72.0,64.0,55.0,6.0,9.0
20190309,0,Anshan,71.0,0.843,1.271,19.0,36.0,122.0,123.0,94.0,107.0,90.0,103.0,37.0,49.0,12.0,26.0
20190309,0,Anshun,20.0,0.775,0.7,10.0,11.0,49.0,49.0,39.0,44.0,12.0,7.0,10.0,6.0,14.0,12.0
20190309,0,Anyang,64.0,0.6,0.82,36.0,31.0,62.0,119.0,95.0,113.0,75.0,78.0,45.0,41.0,10.0,12.0
20190309,0,Baicheng,62.0,0.3,0.25,22.0,15.0,53.0,100.0,73.0,95.0,71.0,87.0,34.0,30.0,9.0,10.0
20190309,0,Baise,31.0,1.0,0.9,21.0,12.0,15.0,41.0,26.0,39.0,30.0,19.0,20.0,10.0,20.0,14.0
20190309,0,Baishan,65.0,1.15,0.9,21.0,21.0,71.0,98.0,66.0,93.0,77.0,54.0,39.0,26.0,24.0,14.0
20190309,0,Baiyin,71.0,0.55,0.8,20.0,22.0,78.0,101.0,78.0,94.0,90.0,51.0,24.0,24.0,16.0,70.0
20190309,0,Baoding,85.0,0.633,0.8170000000000001,36.0,42.0,64.0,108.0,87.0,95.0,118.0,116.0,56.0,62.0,12.0,20.0
20190309,0,Baoji,131.0,1.05,0.925,58.0,46.0,16.0,82.0,44.0,70.0,134.0,123.0,99.0,84.0,5.0,7.0
20190309,0,Baoshan,43.0,0.5,0.5,10.0,10.0,87.0,97.0,85.0,91.0,37.0,51.0,28.0,29.0,4.0,5.0
20190309,0,Baotou,174.0,1.75,1.1,62.0,57.0,21.0,81.0,36.0,70.0,151.0,127.0,131.0,95.0,17.0,34.0
20190309,0,Bayannur,136.0,1.533,1.2,40.0,29.0,12.0,93.0,42.0,74.0,142.0,129.0,103.0,90.0,10.0,16.0
20190309,0,Bazhong,82.0,0.575,0.55,38.0,27.0,31.0,118.0,67.0,106.0,85.0,81.0,60.0,64.0,4.0,4.0
20190309,0,Beihai,22.0,1.05,0.95,14.0,13.0,17.0,37.0,19.0,31.0,19.0,18.0,15.0,13.0,5.0,5.0
20190309,0,Beijing,91.0,0.725,0.758,70.0,56.0,33.0,109.0,67.0,86.0,124.0,101.0,67.0,57.0,6.0,8.0
20190309,0,Bengbu,66.0,0.5670000000000001,0.5670000000000001,44.0,41.0,47.0,112.0,67.0,100.0,80.0,69.0,42.0,38.0,10.0,17.0
20190309,0,Benxi,82.0,1.117,1.367,33.0,39.0,91.0,109.0,95.0,100.0,85.0,85.0,60.0,50.0,22.0,22.0
20190309,0,Bijie,25.0,0.7,0.65,12.0,17.0,55.0,55.0,48.0,48.0,9.0,18.0,6.0,11.0,7.0,13.0
20190309,0,Binzhou,191.0,1.6,1.4,106.0,76.0,12.0,108.0,45.0,102.0,187.0,126.0,143.0,85.0,38.0,31.0
20190309,0,Bozhou,55.0,0.5,0.35,18.0,18.0,61.0,95.0,74.0,93.0,58.0,62.0,36.0,39.0,12.0,8.0
20190309,0,Cangzhou,105.0,1.033,0.7,62.0,42.0,45.0,115.0,75.0,107.0,144.0,99.0,78.0,58.0,33.0,24.0
20190309,0,Changchun,115.0,0.65,0.83,20.0,33.0,102.0,105.0,84.0,90.0,177.0,104.0,51.0,41.0,10.0,13.0
20190309,0,Changde,71.0,0.98,0.94,27.0,33.0,40.0,87.0,50.0,67.0,64.0,74.0,51.0,49.0,6.0,12.0
20190309,0,Changsha,94.0,0.77,0.77,34.0,36.0,42.0,63.0,48.0,53.0,,63.0,70.0,49.0,5.0,5.0
20190309,0,Changzhi,52.0,0.78,0.7,31.0,33.0,78.0,124.0,88.0,106.0,52.0,61.0,28.0,30.0,21.0,16.0
20190309,0,Changzhou,58.0,0.778,0.833,51.0,50.0,35.0,63.0,35.0,50.0,64.0,65.0,35.0,37.0,10.0,13.0
20190309,0,Chaoyang,84.0,1.375,1.175,30.0,29.0,88.0,115.0,100.0,108.0,115.0,89.0,51.0,39.0,20.0,19.0
20190309,0,Chaozhou,28.0,0.767,0.8,15.0,13.0,49.0,90.0,54.0,83.0,,18.0,18.0,16.0,8.0,7.0
20190309,0,Chengde,96.0,1.175,0.98,49.0,41.0,45.0,97.0,66.0,87.0,117.0,78.0,71.0,37.0,14.0,17.0
20190309,0,Chengdu,71.0,0.767,0.7,48.0,28.0,33.0,79.0,55.0,69.0,89.0,50.0,48.0,29.0,5.0,5.0
20190309,0,Chenzhou,45.0,1.0,0.8,17.0,19.0,48.0,72.0,53.0,66.0,44.0,54.0,30.0,41.0,4.0,5.0
20190309,0,Chifeng,73.0,0.65,0.85,18.0,30.0,95.0,119.0,96.0,100.0,94.0,77.0,46.0,37.0,14.0,24.0
20190309,0,Chizhou,103.0,1.167,0.767,64.0,35.0,31.0,101.0,58.0,92.0,98.0,83.0,76.0,60.0,5.0,7.0
20190309,0,Chongqing,58.0,0.759,0.736,49.0,37.0,32.0,78.0,43.0,65.0,61.0,56.0,40.0,42.0,8.0,8.0
20190309,0,Chongzuo,25.0,0.95,0.85,16.0,13.0,17.0,39.0,19.0,36.0,24.0,14.0,12.0,7.0,5.0,4.0
20190309,0,Chuzhou,65.0,0.433,0.633,38.0,50.0,51.0,83.0,50.0,71.0,73.0,77.0,46.0,44.0,9.0,12.0
